Index,Company,Account Type,Twitter Handle,Account Creation Date,Account Followers,Account Following,Account Likes,Account Public Lists,Original Tweets,Retweets,Reply Tweets,Quote Tweets,Original Tweet Retweets,Original Tweet Likes,Original Tweet Replies,Original Tweet Quotes
0,ABBVIE INC,Corporate,@abbvie,2012-03-21 03:42:59+00:00,77771,492,2058,1083,7957,288,523,270,46404,103650,4258,2498
0,MASTERCARD INC CLASS A,Corporate,@MasterCard,2009-09-17 13:42:33+00:00,495072,11383,29011,2194,35756,5458,35845,129,175263,598524,101388,11494
0,HONEYWELL INTERNATIONAL INC,Corporate,@Honeywell,2009-08-11 16:53:16+00:00,65821,331,5453,759,2493,569,2132,7,16182,67040,6027,1690
0,BRISTOL MYERS SQUIBB,Corporate,@bmsnews,2009-04-21 19:31:42+00:00,157105,1097,1385,1869,8618,688,210,299,69037,163890,9398,4190
0,BOEING,Corporate,@Boeing,2009-03-18 16:44:27+00:00,658394,252,990,4719,4194,1019,707,79,131948,376085,29387,14756
0,QUALCOMM INC,Corporate,@Qualcomm,2009-10-23 15:55:15+00:00,452203,12307,29268,3545,9415,4287,3293,358,118301,390186,28760,9319
0,STARBUCKS CORP,Corporate,@Starbucks,2006-11-29 19:19:02+00:00,11118472,88083,22897,25213,415872,1005,230829,254,2121540,7466710,385599,261316
0,UNITED TECHNOLOGIES CORP,Corporate,@UTC,2007-06-10 15:55:26+00:00,43867,744,3944,673,2868,3480,364,278,13039,35458,1382,1082
0,UNION PACIFIC CORP,Corporate,@UnionPacific,2008-11-25 20:06:08+00:00,56633,16,656,666,3262,157,462,137,31094,109774,4753,2625
0,ACCENTURE PLC,Corporate,@Accenture,2007-11-12 21:34:00+00:00,551998,1664,8369,6230,35078,917,561,75,180988,375418,16123,8265
0,NIKE INC CLASS B,Corporate,@Nike,2011-11-18 22:31:18+00:00,9617286,117,7010,11394,334447,581,33284,15,1252030,4389107,202222,141292
0,UNITED PARCEL SERVICE INC CLASS B,Corporate,@UPS,2010-06-21 21:34:59+00:00,269979,12027,37042,1729,25573,2118,100400,292,284325,605977,61534,17013
0,ELI LILLY,Corporate,@LillyPad,2010-07-29 21:24:18+00:00,139971,1326,2045,1630,14387,3280,4399,237,44098,120769,24481,8891
0,LOWES COMPANIES INC,Corporate,@Lowes,2009-01-22 12:39:00+00:00,299762,11721,13746,2495,36161,874,177493,90,88395,323305,36803,9577
0,MONDELEZ INTERNATIONAL INC CLASS A,Corporate,@MDLZ,2013-11-26 16:14:22+00:00,32214,2540,2984,444,4447,510,5493,166,18417,72970,3757,2789
0,US BANCORP,Corporate,@usbank,2008-07-24 03:58:55+00:00,44701,0,5381,691,14188,643,20712,96,29672,124377,15745,4222
0,WALGREEN BOOTS ALLIANCE,Corporate,@WBA_Global,2020-02-24 19:48:23+00:00,14042,208,519,54,360,83,24,31,1447,7352,849,310
0,PRICELINE GROUP INC/THE,Corporate,@priceline,2009-02-11 15:17:30+00:00,89148,10269,3217,1487,5791,453,35703,32,15645,16915,8397,246
0,COLGATE-PALMOLIVE,Corporate,@CP_News,2010-04-01 20:52:17+00:00,36503,628,2096,316,1832,586,1914,97,4325,13305,1142,502
0,AMERICAN INTERNATIONAL GROUP INC,Corporate,@AIGinsurance,2010-03-24 22:10:39+00:00,43209,263,701,668,3666,506,3537,37,34803,201602,5454,1804
0,LOCKHEED MARTIN CORP,Corporate,@LockheedMartin,2009-05-27 12:34:04+00:00,509524,387,10619,5030,12007,1396,3874,710,377557,1087894,44878,18311
0,TEXAS INSTRUMENTS INCORPORATED,Corporate,@TXInstruments,2008-02-18 07:30:29+00:00,93029,1452,3824,2085,19767,512,2178,51,51178,98982,3730,1253
0,SIMON PROPERTY GROUP REIT INC,Corporate,@SimonPropertyGp,2011-05-20 02:48:08+00:00,5273,438,372,121,851,250,53,7,891,1334,167,52
0,THERMO FISHER SCIENTIFIC INC,Corporate,@thermofisher,2009-08-04 16:36:54+00:00,65000,700,1561,926,12023,1618,1254,90,21933,120737,3764,3789
0,BROADCOM LTD,Corporate,@Broadcom,2011-07-19 17:43:11+00:00,52440,3478,14,716,4886,216,688,7,39178,42678,1805,179
0,GOLDMAN SACHS GROUP INC,Corporate,@GoldmanSachs,2011-02-16 17:59:09+00:00,973674,10,306,7450,17583,2224,133,257,484667,1744120,103120,31008
0,DANAHER CORP,Corporate,@DanaherCorp,2018-04-19 16:34:38+00:00,327,32,121,2,56,11,0,8,63,227,4,3
0,DOW CHEMICAL,Corporate,@DowNewsroom,2008-08-01 22:16:15+00:00,72009,1910,8623,992,9339,4348,1375,539,36866,62420,4848,3659
0,TIME WARNER INC,Corporate,@wbd,2009-02-26 21:06:07+00:00,154116,3697,5369,1218,10806,2996,1591,401,35016,150946,20016,5428
0,DU PONT DE NEMOURS,Corporate,@DuPont_News,2009-03-12 22:27:38+00:00,67528,228,635,1176,16478,1910,3635,60,35313,23110,4285,735
0,CHUBB LTD,Corporate,@Chubb,2009-05-12 17:40:14+00:00,28572,1071,583,444,5067,1180,84,36,8275,23163,1329,759
0,OCCIDENTAL PETROLEUM CORP,Corporate,@WeAreOxy,2009-05-26 15:05:11+00:00,16544,87,163,216,415,127,16,133,1832,7326,432,229
0,CONOCOPHILLIPS,Corporate,@conocophillips,2009-03-09 15:45:42+00:00,164002,207,2416,1376,4426,596,194,67,15143,16527,1894,528
0,ABBOTT LABORATORIES,Corporate,@AbbottNews,2011-08-22 16:23:33+00:00,120679,4915,5026,1329,8189,789,5780,192,83602,248002,14134,14157
0,NEXTERA ENERGY INC,Corporate,@nexteraenergy,2009-12-02 22:21:59+00:00,5832,3,7,131,224,20,10,8,712,2062,163,123
0,DUKE ENERGY CORP,Corporate,@DukeEnergy,2009-10-09 20:14:52+00:00,119558,2485,14074,1362,9921,1544,38487,34,55528,179375,15833,6646
0,BIOGEN INC,Corporate,@biogen,2010-06-14 18:40:14+00:00,44762,254,1252,674,4698,680,216,138,16382,54732,1734,1535
0,EMC CORP,Corporate,@DellEMC,2022-01-19 00:17:30+00:00,4,0,0,0,0,0,0,0,0,0,0,0
0,SALESFORCE.COM INC,Corporate,@salesforce,2009-04-20 18:34:14+00:00,588789,143147,32029,7459,215118,48,832,2,3044,29602,1519,291
0,TJX INC,Corporate,@tjmaxx,2007-10-19 12:56:12+00:00,348183,10555,15419,1685,4064,2125,17845,10,34084,92152,11650,697
0,FORD MOTOR,Corporate,@Ford,2008-07-31 16:07:55+00:00,1460827,19,12576,7221,35208,472,39462,40,116672,542436,58041,20930
0,KRAFT HEINZ,Corporate,@KraftHeinzCo,2010-02-16 18:10:32+00:00,21781,54,1150,419,410,109,2064,10,895,3242,2499,262
0,ADOBE SYSTEM INC,Corporate,@Adobe,2009-08-07 17:55:30+00:00,842962,223,15221,9897,23016,2149,19164,151,298783,1001233,39322,34812
0,EXPRESS SCRIPTS HOLDING CO,Corporate,@ExpressScripts,2009-05-27 12:09:19+00:00,21654,961,2071,281,3948,1246,3069,129,8275,13230,2618,511
0,MONSANTO,Corporate,@Bayer,2010-04-26 12:35:25+00:00,184683,935,6854,1342,5348,2143,1996,102,40131,80041,11961,3898
0,METLIFE INC,Corporate,@MetLife,2009-09-30 17:40:18+00:00,54783,340,2662,526,4398,563,67094,100,33805,117315,9472,3633
0,KIMBERLY CLARK CORP,Corporate,@KCCorp,2010-06-02 23:11:40+00:00,29599,538,3149,440,2449,2014,1904,16,4950,14684,1589,507
0,SOUTHERN,Corporate,@SouthernCompany,2008-08-15 16:38:36+00:00,59449,954,7244,605,2889,2324,367,273,10980,19941,1475,840
0,AMERICAN TOWER REIT CORP,Corporate,@AmericanTowerUS,2020-04-27 18:43:37+00:00,666,0,0,18,0,0,0,0,0,0,0,0
0,BLACKROCK INC.,Corporate,@blackrock,2009-03-11 12:41:19+00:00,575476,857,525,4961,14958,697,353,51,90169,176707,37870,8724
